Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Ccomp3-1,TDK,CGA2B2X7R1H471K050BA,1,0.01,3,Cap: 470 pF  Total Derated Cap: 470 pF  VDC: 50 V  ESR: 4.96 Ω  Package: 0402  
Cilim-1,MuRata,GQM2195C2A5R1CB01D,1,0.15,6.75,Cap: 5.1 pF  Total Derated Cap: 5.1 pF  VDC: 100 V  ESR: 1 mΩ  Package: 0805  
Css-1,MuRata,GRM155R71C563KA88D,1,0.01,3,Cap: 56 nF  Total Derated Cap: 56 nF  VDC: 16 V  ESR: 1 mΩ  Package: 0402  
Cin-1,MuRata,GRM32ER71H475KA88L,1,0.16,14.7,Cap: 4.7 µF  Total Derated Cap: 3.3 µF  VDC: 50 V  ESR: 1 mΩ  Package: 1210  
Ruv1-1,Yageo,RC0201FR-7D68K1L,1,0.01,2.08,Resistance: 68.1 kΩ  Tolerance: 1.0%  Power: 50 mW  
Ccomp2-1,MuRata,GRM155R71H821KA01D,1,0.01,3,Cap: 820 pF  Total Derated Cap: 820 pF  VDC: 50 V  ESR: 1 mΩ  Package: 0402  
Ccomp1-1,MuRata,GRM155R71C822KA01D,1,0.01,3,Cap: 8.2 nF  Total Derated Cap: 8.2 nF  VDC: 16 V  ESR: 1 mΩ  Package: 0402  
Rt-1,Vishay-Dale,CRCW040239K2FKED,1,0.01,3,Resistance: 39.2 kΩ  Tolerance: 1.0%  Power: 63 mW  
M1-1,Texas Instruments,CSD17579Q3A,1,0.12,18.49,VdsMax: 30 V  IdsMax: 20 Amps  
Rfbb-1,Vishay-Dale,CRCW04023K40FKED,1,0.01,3,Resistance: 3.4 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rcomp2-1,Vishay-Dale,CRCW0402162RFKED,1,0.01,3,Resistance: 162 Ω  Tolerance: 1.0%  Power: 63 mW  
Cbst-1,MuRata,GRM188R61E104KA01D,1,0.01,4.68,Cap: 100 nF  Total Derated Cap: 67 nF  VDC: 25 V  ESR: 30 mΩ  Package: 0603  
Rfbt-1,Yageo,RC0603FR-0718KL,1,0.01,4.68,Resistance: 18 kΩ  Tolerance: 1.0%  Power: 100 mW  
Rvin-1,Vishay-Dale,CRCW06032R10FKEA,1,0.01,4.68,Resistance: 2.1 Ω  Tolerance: 1.0%  Power: 100 mW  
Cvin-1,TDK,CGA3E2X7R1H104K080AA,1,0.01,4.68,Cap: 100 nF  Total Derated Cap: 82 nF  VDC: 50 V  ESR: 29.6 mΩ  Package: 0603  
Rpgood-1,Yageo,RC0603FR-0720KL,1,0.01,4.68,Resistance: 20 kΩ  Tolerance: 1.0%  Power: 100 mW  
U1-1,Texas Instruments,LM5145RGYR,1,1.318,24.75,
Cvcc-1,TDK,C1005X5R1V225K050BC,1,0.06,3,Cap: 2.2 µF  Total Derated Cap: 93 nF  VDC: 35 V  ESR: 1 mΩ  Package: 0402  
M2-1,Texas Instruments,CSD17577Q3A,1,0.15,18.49,VdsMax: 30 V  IdsMax: 35 Amps  
L1-1,Coilcraft,XAL1010-332MEB,1,1.71,159.6,L: 3.3 µH  DCR: 3.7 mΩ  IDC: 25 A  
Cout-1,Kemet,C1210C106K8PACTU,2,0.22,14.7,Cap: 10 µF  Total Derated Cap: 19 µF  VDC: 10 V  ESR: 8 mΩ  Package: 1210  
Ruv2-1,Yageo,RC0603FR-079K1L,1,0.01,4.68,Resistance: 9.1 kΩ  Tolerance: 1.0%  Power: 100 mW  
Rilim-1,Vishay-Dale,CRCW04021K74FKED,1,0.01,3,Resistance: 1.74 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rcomp1-1,Vishay-Dale,CRCW04021K54FKED,1,0.01,3,Resistance: 1.54 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rvcc-1,Yageo,RC0603FR-0720KL,1,0.01,4.68,Resistance: 20 kΩ  Tolerance: 1.0%  Power: 100 mW  
